subject,predicate,object,chunk
apple inc.,trade receivables concentrated within,cellular network carriers,70
apple inc.,trade receivables concentrated within,resellers,70
apple inc.,exposure higher in,international markets,70
apple inc.,has,unsecured vendor non-trade receivables,70
apple inc.,made,prepayments for long-term supply agreements,70
apple inc.,vendor non-trade receivables concentrated among,vendors in asia,70
apple inc.,subject to,changes in tax rates,70
apple inc.,subject to,new tax legislation,70
apple inc.,subject to,additional tax liabilities,70
apple inc.,subject to taxes in,u.s.,70
apple inc.,subject to taxes in,u.s.,71
apple inc.,subject to taxes in,foreign jurisdictions,71
apple inc.,has subsidiaries in,ireland,71
apple inc.,has subsidiaries in,singapore,71
organisation for economic co-operation and development,advances,proposals,71
proposals,include,global minimum tax standards,71
apple inc. effective tax rates,affected by,changes in earnings mix,71
apple inc. effective tax rates,affected by,changes in tax laws,71
apple inc.,subject to examination by,u.s. internal revenue service,71
apple inc.,subject to examination by,other tax authorities,71
apple inc.,faces risk of,increased effective tax rates,72
apple inc.'s taxes owed,may exceed,accrued amounts,72
increased tax rates,could affect,apple inc.'s business,72
excess taxes owed,could affect,apple inc.'s financial condition,72
apple inc.'s stock price,is subject to,volatility,72
apple inc.'s stock,experienced,substantial price volatility,72
apple inc.'s stock,may continue,price volatility,72
apple inc.,experienced,extreme stock price fluctuations,72
price volatility,may cause,stock repurchase price exceed current price,72
apple inc.,believes stock price reflects,future growth expectations,72
apple inc.,has,share repurchase program,73
future dividends,subject to,declaration by board of directors,73
share repurchase program,does not obligate,apple inc. to acquire specific shares,73
apple inc.'s management,manages,cybersecurity risks,73
apple inc.'s management,led by,head of corporate information security,73
apple inc.,has,head of corporate information security,73
head of corporate information security,leads,information security team,73
information security team,develops,information security policies,73
information security team,engages in,employee cybersecurity training,73
information security team,implements,security controls,73
apple inc.,has,information security team,74
apple inc. information security team,coordinates with,teams across apple inc.,74
apple inc. information security team,manages,security incidents,74
apple inc. information security team,engages,third parties,74
apple inc.,has,supplier trust team,74
apple inc. supplier trust team,manages,information security risks,74
apple inc.,has processes to track,cybersecurity incidents,74
apple inc.,escalates cybersecurity incidents to,audit committee,74
apple inc.,has,enterprise risk management program,74
audit committee,reviews,cybersecurity risks,74
apple inc.,reviews,cybersecurity risks,75
apple inc.,receives updates on,cybersecurity incidents,75
apple inc.,headquarters located in,"cupertino, california",75
apple inc.,owned facilities as of,"september 28, 2024",75
apple inc.,leased facilities as of,"september 28, 2024",75
apple inc.,facilities used for,r&d,75
apple inc.,facilities used for,retail,75
commission,opened investigations against,apple inc.,75
investigations,are under,dma,75
commission investigations,concern,article 5(4) of dma,75
commission,investigates,article 5(4) of dma,76
article 5(4) of dma,relates to,developer communication on app store,76
article 6(3) of dma,relates to,default settings on ios,76
commission,announced,preliminary findings in article 5(4) investigation,76
preliminary findings,allege,apple inc. app store rules breach dma,76
commission,opened,third formal investigation against apple inc.,76
third formal investigation,regards,apple inc. new contractual requirements,76
commission,can impose,fines up to 10% of apple inc. annual worldwide net sales,76
commission decision,can be appealed to,general court of the eu,76
apple inc.,believes,it complies with dma,76
u.s. department of justice,filed lawsuit against,apple inc.,77
u.s. department of justice lawsuit,filed on,"march 21, 2024",77
u.s. department of justice lawsuit,filed in,u.s. district court for the district of new jersey,77
u.s. department of justice lawsuit,alleges monopolization in,performance smartphones market,77
u.s. department of justice lawsuit,alleges violation of,u.s. antitrust laws,77
"epic games, inc.",filed lawsuit against,apple inc.,77
"epic games, inc. lawsuit",filed in,u.s. district court for the northern district of california,77
"epic games, inc. lawsuit",alleges violation of,california's unfair competition law,77
california district court,found violation in,apple inc.'s app store review guidelines,77
california district court,issued injunction against,apple inc.,77
guidelines,violate,california’s unfair competition law,78
injunction,enjoined,apple inc.,78
injunction,applies to,ios and ipados app store (u.s. storefront),78
apple inc.,implemented,plan to comply with injunction,78
apple inc.,filed,statement of compliance,78
statement of compliance,filed with,california district court,78
epic,filed,motion disputing compliance plan,78
epic's motion,pending before,california district court,78
apple inc.,filed motion to,narrow or vacate injunction,78
apple inc.,filed,2024 form 10-k,79
apple inc. common stock,traded on,the nasdaq stock market llc,79
apple inc. common stock,has symbol,aapl,79
apple inc.,had shareholders of record,"23,301 as of october 18, 2024",79
apple inc.,purchased shares,"35,697 (june 30 - aug 3, 2024)",79
apple inc.,purchased shares,"42,910 (aug 4 - aug 31, 2024)",79
apple inc.,purchased shares,"33,653 (sep 1 - sep 28, 2024)",79
apple inc.,purchased total shares,"112,260 (three months ended sep 28, 2024)",79
apple inc.,spent on share repurchases,"$89,074 million (three months ended sep 28, 2024)",79
apple inc.,average share price,"$224.11 (june 30 - aug 3, 2024)",79
apple inc.,authorized,$110 billion share repurchase,80
$110 billion share repurchase,announced,"may 2, 2024",80
apple inc.,utilized,$20.9 billion from program,80
apple inc.,utilized,$4.1 billion from previous program,80
previous repurchase program,authorized,may 2023,80
repurchase programs,allow,privately negotiated purchases,80
repurchase programs,allow,open market purchases,80
repurchase programs,comply with,rule 10b5-1,80
total purchases,quantity,"112,260",80
apple inc.,value was,"$100 on september 27, 2019",81
apple inc.,value was,$207 in september 2020,81
apple inc.,value was,$273 in september 2021,81
apple inc.,value was,$430 in september 2024,81
s&p 500 index,value was,"$100 on september 27, 2019",81
s&p 500 index,value was,$210 in september 2024,81
dow jones u.s. technology supersector index,value was,"$100 on september 27, 2019",81
dow jones u.s. technology supersector index,value was,$322 in september 2024,81
macbook pro 14-in.,announced in,first quarter 2024,82
imac,announced in,first quarter 2024,82
macbook air 13-in.,announced in,second quarter 2024,82
ipad pro,announced in,third quarter 2024,82
ios 18,is update to,operating systems,82
apple intelligence™,is,personal intelligence system,82
apple intelligence™,uses,generative models,82
iphone 16 pro max,announced in,fourth quarter 2024,82
apple watch series 10,announced in,fourth quarter 2024,82
airpods 4,announced in,fourth quarter 2024,82
apple inc.,fiscal year ends,last saturday of september,83
apple inc.,fiscal year spans,52 or 53 weeks,83
apple inc.,fiscal year 2023 spanned,53 weeks,83
macroeconomic conditions,impact,apple inc. results of operations,83
macroeconomic conditions,impact,apple inc. financial condition,83
americas,net sales 2024 were,"$167,045 million",83
europe,net sales 2024 were,"$101,328 million",83
greater china,net sales 2024 were,"$66,952 million",83
japan,net sales 2024 were,"$25,052 million",83
total net sales,2024 were,"$391,035 million",83
americas net sales,increased,2024 compared to 2023,84
americas net sales increase,due to,higher services net sales,84
europe net sales,increased,2024 compared to 2023,84
europe net sales increase,due to,higher services and iphone net sales,84
greater china net sales,decreased,2024 compared to 2023,84
greater china net sales decrease,due to,lower iphone and ipad net sales,84
weak renminbi,impacted unfavorably,greater china net sales in 2024,84
japan net sales,increased,2024 compared to 2023,84
japan net sales increase,due to,higher iphone net sales,84
weak yen,impacted unfavorably,japan net sales in 2024,84
apple inc.,generated sales in europe period 1,"101,328",85
apple inc.,generated sales in europe period 2,"94,294",85
apple inc.,generated sales in greater china period 1,"66,952",85
apple inc.,generated sales in greater china period 2,"72,559",85
apple inc.,generated sales in japan period 1,"25,052",85
apple inc.,generated sales in japan period 2,"24,257",85
apple inc.,generated sales in rest of asia pacific period 1,"30,658",85
apple inc.,generated sales in rest of asia pacific period 2,"29,615",85
apple inc.,generated total net sales period 1,"391,035",85
apple inc.,generated total net sales period 2,"383,285",85
mac net sales,increased,during 2024 compared to 2023,86
mac net sales increase,due to,higher net sales of laptops,86
ipad net sales,decreased,during 2024 compared to 2023,86
ipad net sales decrease,due to,lower net sales of ipad pro,86
"wearables, home and accessories net sales",decreased,during 2024 compared to 2023,86
"wearables, home and accessories net sales decrease",due to,lower net sales of wearables,86
services net sales,increased,during 2024 compared to 2023,86
services net sales increase,due to,higher net sales from app store,86
services net sales,include,amortization of deferred value,86
apple inc.,had mac sales,"29,984",87
apple inc.,had ipad sales,"26,694",87
apple inc.,had wearables sales,"37,005",87
apple inc.,had services sales,"96,169",87
apple inc.,had total sales,"391,035",87
apple inc.,had mac sales,"40,177",87
apple inc.,had ipad sales,"29,292",87
apple inc.,had wearables sales,"41,241",87
apple inc.,had services sales,"78,129",87
apple inc.,had total sales,"394,328",87
apple inc. products,had gross margin 2024,"$109,633 million",88
apple inc. services,had gross margin 2024,"$71,050 million",88
apple inc.,had total gross margin 2024,"$180,683 million",88
apple inc. products,had gross margin percentage 2024,37.2 %,88
apple inc. services,had gross margin percentage 2024,73.9 %,88
apple inc.,had total gross margin percentage 2024,46.2 %,88
apple inc. products gross margin,increased in,2024 compared to 2023,88
apple inc. services gross margin,increased in,2024 compared to 2023,88
apple inc. research and development expenses,were in 2024,"$31,370 million",88
apple inc. selling general and administrative expenses,were in 2024,"$26,097 million",88
apple inc.,had r&d expense 2024,"$31,370",89
apple inc.,had r&d expense 2023,"$29,915",89
apple inc.,had r&d expense 2022,"$26,251",89
r&d expense,change 2024 vs 2023,5%,89
r&d expense,% of sales 2024,8%,89
apple inc.,had sga expense 2024,"$26,097",89
sga expense,increased 2024 vs 2023,$1.2 billion,89
apple inc.,had total operating expenses 2024,"$57,467",89
total operating expenses,% of sales 2024,15%,89
r&d expense growth 2024 vs 2023,driven by,headcount-related expenses,89
apple inc.,had products revenue period 1,"$109,633",90
apple inc.,had services revenue period 2,"$60,345",90
apple inc.,had total gross margin period 3,"$170,782",90
apple inc.,had products gross margin percentage period 1,37.2%,90
apple inc.,had services gross margin percentage period 2,70.8%,90
apple inc.,had total gross margin percentage period 3,43.3%,90
apple inc.,had selling general administrative expense period 1,"$26,097",90
apple inc.,had total operating expenses period 2,"$54,847",90
apple inc.,had selling general administrative percentage of net sales period 3,7%,90
apple inc.,had total operating expenses percentage of net sales period 1,15%,90
provision for income taxes,"was $29,749 million",in 2024,91
provision for income taxes,"was $16,741 million",in 2023,91
provision for income taxes,"was $19,300 million",in 2022,91
effective tax rate,was 24.1%,in 2024,91
effective tax rate,was 14.7%,in 2023,91
effective tax rate,was 16.2%,in 2022,91
statutory federal income tax rate,was 21%,in 2024,91
apple inc.,had $140.8 billion cash,"as of september 28, 2024",91
apple inc.'s 2024 effective tax rate,was higher than,statutory federal income tax rate,91
apple inc.'s 2024 effective tax rate,was higher than,2023 effective tax rate,91
apple inc.,has,outstanding fixed-rate notes,92
outstanding fixed-rate notes,total,$97.3 billion,92
$10.9 billion,payable within,12 months,92
future interest payments,total,$38.5 billion,92
apple inc.,has,commercial paper outstanding,92
commercial paper outstanding,totals,$10.0 billion,92
apple inc.,has,fixed lease payment obligations,92
fixed lease payment obligations,total,$15.6 billion,92
$2.0 billion,payable within,12 months,92
apple inc.,utilizes,outsourcing partners,92
apple inc.,obtains components from,wide variety of individual suppliers,93
apple inc.,had manufacturing purchase obligations as of sep 28 2024,$53.0 billion,93
apple inc.,has manufacturing purchase obligations payable within 12 months,$52.9 billion,93
apple inc.,had other purchase obligations as of sep 28 2024,$12.0 billion,93
apple inc.,has other purchase obligations payable within 12 months,$4.1 billion,93
apple inc.,had deemed repatriation tax payable balance as of sep 28 2024,$16.5 billion,93
deemed repatriation tax payable,imposed by,u.s. tax cuts and jobs act of 2017 (tcja),93
apple inc.,expects to pay deemed repatriation tax within 12 months,$7.2 billion,93
apple inc.,has effective tax rate,24.1%,94
apple inc.,has effective tax rate,14.7%,94
apple inc.,has effective tax rate,16.2%,94
apple inc.,has statutory federal income tax rate,21%,94
apple inc.,has statutory federal income tax rate,21%,94
apple inc.,has statutory federal income tax rate,21%,94
apple inc.,reports rate type,effective tax rate,94
apple inc.,reports rate type,statutory federal income tax rate,94
apple inc.,had obligation to pay,€14.2 billion to ireland,95
apple inc.,had obligation to pay,$15.8 billion to ireland,95
apple inc. obligation to ireland,related to,state aid decision,95
apple inc.,has,authorized share repurchase program,95
apple inc. quarterly cash dividend,was,$0.25 per share,95
apple inc.,intends to increase,dividend annually,95
apple inc.,announced new program,share repurchase program up to $110 billion,95
apple inc.,raised quarterly dividend,from $0.24 to $0.25 per share,95
apple inc.,repurchased common stock,$95.0 billion during 2024,95
apple inc.,paid dividends,$15.2 billion during 2024,95
apple inc.,will adopt,asu 2023-09,96
apple inc.,will adopt asu 2023-09 in,fourth quarter 2026,96
apple inc.,will use,prospective transition method,96
asu 2023-09,requires,disaggregating income taxes paid disclosure,96
fasb,issued,asu no. 2023-07,96
asu no. 2023-07,issued in,november 2023,96
apple inc.,will adopt,asu 2023-07,96
apple inc.,will adopt asu 2023-07 in,fourth quarter 2025,96
apple inc.,will use,retrospective transition method,96
asu no. 2023-07,requires,disclosing significant segment expenses,96
note 1,describes,significant accounting policies,97
note 1,describes,methods for financial statements,97
note 1,is part of,notes to consolidated financial statements,97
notes to consolidated financial statements,located in,"part ii, item 8 of form 10-k",97
apple inc.,subject to,income taxes in the u.s.,97
apple inc.,subject to,income taxes in foreign jurisdictions,97
evaluation of uncertain tax positions,involves,interpretation of gaap,97
evaluation of uncertain tax positions,involves,application of tax laws,97
complex international tax laws,include,tcja,97
apple inc. management,bases estimates on,historical experience,97
apple inc.,is subject to,legal proceedings,98
apple inc.,is subject to,claims,98
legal proceedings and claims,arise in,ordinary course of business,98
apple inc.,records liability when,loss is probable,98
apple inc.,is exposed to,economic risk,98
economic risk,from,interest rates,98
economic risk,from,foreign exchange rates,98
apple inc.,uses strategies to manage,economic risks,98
increases in interest rates,negatively affect,fair value of apple inc.'s investment portfolio,98
apple inc.,filed,2024 form 10-k,98
interest rates,negatively affect,fair value of apple inc.'s investment portfolio,99
interest rates,increase,interest expense on apple inc.'s term debt,99
apple inc.,may use,derivative instruments,99
apple inc.,may offset,interest rate-sensitive assets and liabilities,99
apple inc.,may control,duration of investment and term debt portfolios,99
100 basis points interest rate increase,causes,decline in fair value of investment portfolio,99
100 basis points interest rate increase,causes,increase in annual interest expense on term debt,99
apple inc.'s exposure,relates to,being net receiver of non-u.s. dollar currencies,99
changes in exchange rates,negatively affect,apple inc.'s net sales,99
strengthening of u.s. dollar,negatively affects,apple inc.'s gross margins,99
apple inc.,protects against,foreign exchange rate risk,100
apple inc.,uses,derivative instruments,100
apple inc.,applied,value-at-risk model,100
value-at-risk model,used,monte carlo simulation,100
value-at-risk model,assesses impact of,fluctuations in exchange rates,100
value-at-risk,is,maximum expected loss,100
apple inc.,estimates,maximum one-day loss,100
maximum one-day loss,was,"$538 million as of september 28, 2024",100
maximum one-day loss,was,"$669 million as of september 30, 2023",100
changes in foreign currency exposures,offset changes in,fair values of foreign currency derivatives,100
consolidated statements of operations,covers years ended,"september 28, 2024",101
consolidated statements of operations,covers years ended,"september 30, 2023",101
consolidated statements of operations,covers years ended,"september 24, 2022",101
consolidated statements of operations,is on page,29,101
consolidated statements of comprehensive income,is on page,30,101
consolidated balance sheets,is on page,31,101
consolidated balance sheets,is as of,"september 28, 2024",101
consolidated balance sheets,is as of,"september 30, 2023",101
consolidated statements of shareholders’ equity,is on page,32,101
consolidated statements of cash flows,is on page,33,101
consolidated statements of comprehensive income,for year ended,"september 28, 2024",102
consolidated statements of comprehensive income,for year ended,"september 30, 2023",102
consolidated statements of comprehensive income,for year ended,"september 24, 2022",102
consolidated balance sheets,as of,"september 28, 2024",102
consolidated balance sheets,as of,"september 30, 2023",102
consolidated statements of shareholders’ equity,for year ended,"september 28, 2024",102
consolidated statements of shareholders’ equity,for year ended,"september 30, 2023",102
consolidated statements of shareholders’ equity,for year ended,"september 24, 2022",102
consolidated statements of cash flows,for year ended,"september 28, 2024",102
consolidated statements of cash flows,for year ended,"september 30, 2023",102
apple inc.,net sales 2024,"$391,035 million",103
apple inc.,net sales 2023,"$383,285 million",103
apple inc.,net sales 2022,"$394,328 million",103
apple inc.,net income 2024,"$93,736 million",103
apple inc.,net income 2023,"$96,995 million",103
apple inc.,net income 2022,"$99,803 million",103
apple inc.,basic eps 2024,$6.11,103
apple inc.,diluted eps 2024,$6.08,103
apple inc.,reported total net sales,"$391,035 in 2023",104
apple inc.,reported total net sales,"$383,285 in 2022",104
apple inc.,reported total net sales,"$394,328 in 2021",104
apple inc.,reported net income,"$93,736 in 2023",104
apple inc.,reported net income,"$96,995 in 2022",104
apple inc.,reported net income,"$99,803 in 2021",104
apple inc.,had basic earnings per share,$6.11 in 2023,104
apple inc.,had basic earnings per share,$6.16 in 2022,104
apple inc.,had basic earnings per share,$6.15 in 2021,104
apple inc.,generated products sales,"$294,866 in 2023",104
apple inc.,net income,"93,736 million in 2024",105
apple inc.,net income,"96,995 million in 2023",105
apple inc.,net income,"99,803 million in 2022",105
apple inc.,total comprehensive income,"98,016 million in 2024",105
apple inc.,total comprehensive income,"96,652 million in 2023",105
apple inc.,total comprehensive income,"88,531 million in 2022",105
apple inc.,total other comprehensive income,"4,280 million in 2024",105
apple inc.,total other comprehensive income,-343 million in 2023,105
apple inc.,total other comprehensive income,"-11,272 million in 2022",105
apple inc.,had total other comprehensive income/(loss),"4,280",106
apple inc.,had total other comprehensive income/(loss),(343),106
apple inc.,had total other comprehensive income/(loss),"(11,272)",106
apple inc.,had total comprehensive income,"98,016",106
apple inc.,had total comprehensive income,"96,652",106
apple inc.,had total comprehensive income,"88,531",106
apple inc.,had change in foreign currency translation net of tax,395,106
apple inc.,had total change in unrealized gains/losses on derivative instruments,"(2,169)",106
apple inc.,had total change in unrealized gains/losses on marketable debt securities,"6,054",106
apple inc.,total assets,"$364,980 million on sep 28 2024",107
apple inc.,total assets,"$352,583 million on sep 30 2023",107
apple inc.,total liabilities,"$308,030 million on sep 28 2024",107
apple inc.,total liabilities,"$290,437 million on sep 30 2023",107
apple inc.,total shareholders equity,"$56,950 million on sep 28 2024",107
apple inc.,total shareholders equity,"$62,146 million on sep 30 2023",107
apple inc.,total current assets,"$152,987 million on sep 28 2024",107
apple inc.,total current assets,"$143,566 million on sep 30 2023",107
apple inc.,total current liabilities,"$176,392 million on sep 28 2024",107
apple inc.,total current liabilities,"$145,308 million on sep 30 2023",107
apple inc.,has accumulated deficit,"(19,154)",108
apple inc.,has accumulated deficit,(214),108
apple inc.,has accumulated other comprehensive loss,"(7,172)",108
apple inc.,has accumulated other comprehensive loss,"(11,452)",108
apple inc.,has total shareholders’ equity,"56,950",108
apple inc.,has total shareholders’ equity,"62,146",108
apple inc.,has total liabilities and shareholders’ equity,"364,980",108
apple inc.,has total liabilities and shareholders’ equity,"352,583",108
apple inc.,filed,2024 form 10-k,108
2024 form 10-k,filed by,apple inc.,108
apple inc.,had total shareholders' equity beginning balance,"$62,146 million in 2024",109
apple inc.,had common stock issued,"$1,423 million in 2024",109
apple inc.,had share-based compensation,"$12,034 million in 2024",109
apple inc.,had net income,"$93,736 million in 2024",109
apple inc.,declared dividends,"$15,218 million in 2024",109
apple inc.,repurchased common stock,"$95,846 million in 2024",109
apple inc.,had total shareholders' equity ending balance,"$56,950 million in 2024",109
apple inc.,declared dividends per share,$0.98 in 2024,109
apple inc.,had net income,"$96,995 million in 2023",109
apple inc.,repurchased common stock,"$77,046 million in 2023",109
apple inc.,has common stock ending balance,"83,276",110
apple inc.,has common stock ending balance,"73,812",110
apple inc.,has retained earnings ending balance,"(19,154)",110
apple inc.,has retained earnings ending balance,(214),110
apple inc.,has net income,"93,736",110
apple inc.,has net income,"96,995",110
apple inc.,declared dividends,"15,218",110
apple inc.,repurchased common stock,"95,846",110
apple inc.,has total shareholders equity ending balance,"56,950",110
apple inc.,declared dividends per share,0.98,110
apple inc.,had net income,"93,736 in 2024",111
apple inc.,had depreciation and amortization,"11,519 in 2023",111
apple inc.,had share-based compensation expense,"9,038 in 2022",111
apple inc.,generated cash from operations,"118,254 in 2024",111
apple inc.,purchased marketable securities,"29,513 in 2023",111
apple inc.,received proceeds from maturities,"29,917 in 2022",111
apple inc.,generated cash from investing,"2,935 in 2024",111
apple inc.,used cash in investing,"22,354 in 2022",111
apple inc.,made tax payments,"5,441 in 2024 related to equity awards",111
apple inc.,generated,"cash from investing activities (2,935)",112
apple inc.,paid,"taxes for equity awards (5,441)",112
apple inc.,paid,"dividends (15,234)",112
apple inc.,repurchased,"common stock (94,949)",112
apple inc.,repaid,"term debt (9,958)",112
apple inc.,received,"proceeds from commercial paper (3,960)",112
apple inc.,used,"cash in financing activities (121,983)",112
apple inc.,had,decrease in cash (794),112
apple inc.,had,"ending cash balance (29,943)",112
apple inc.,paid,"income taxes (26,102)",112
apple inc.,develops,iphone,113
apple inc.,develops,macbook,113
apple inc.,develops,ios operating system,113
apple inc.,develops,macos operating system,113
apple inc.,operates,app store,113
apple inc.,operates,itunes store,113
apple inc.,headquartered in,"cupertino, california",113
apple inc.,founded by,steve jobs,113
apple inc.,founded by,steve wozniak,113
apple inc.,founded by,ronald wayne,113
apple inc.,includes accounts of,wholly owned subsidiaries,114
apple inc.,fiscal year ends,last saturday of september,114
apple inc.,fiscal year is,52 or 53 weeks,114
apple inc.,includes additional week in,first fiscal quarter every five or six years,114
apple inc.,fiscal year 2024 spanned,52 weeks,114
apple inc.,fiscal year 2022 spanned,52 weeks,114
apple inc.,fiscal year 2023 spanned,53 weeks,114
apple inc.,records revenue net of,taxes collected from customers,114
apple inc.,recognizes,share-based compensation expense,114
apple inc.,recognizes expense on,straight-line basis,114
apple inc.,presents,derivative assets in consolidated balance sheets,115
apple inc.,presents,derivative liabilities in consolidated balance sheets,115
apple inc.,records,deferred tax assets in connection with minimum tax,115
apple inc.,records,deferred tax liabilities in connection with minimum tax,115
minimum tax,is created by,tcja,115
apple inc.,combines,lease and nonlease components,115
apple inc.,accounts for,lease and nonlease components as single lease component,115
apple inc.,recognizes,revenue when control is transferred,115
control,is transferred when,apple inc. has right to payment,115
control,is transferred when,apple inc. has title,115
apple inc.,transfers control upon right,payment and title,116
apple inc.,transfers control upon risks,ownership transfer,116
control transfer for most products net sales,transfers when,products shipped,116
control transfer for services net sales,transfers over time as,services delivered,116
apple inc.,records reductions to,products net sales,116
reductions to products net sales,relate to,future product returns,116
reductions to products net sales,relate to,price protection,116
apple inc.,allocates revenue for,multiple performance obligations,116
apple inc.,allocates revenue based on,relative stand-alone selling prices,116
apple inc.,uses to determine,ssps,116
apple inc.,estimates,ssps,117
apple inc.,identifies,performance obligations,117
performance obligations,involve sale of,iphone,117
performance obligations,involve sale of,mac,117
performance obligations,involve sale of,ipad,117
first performance obligation,is,hardware and bundled software,117
second performance obligation,is right to receive,product-related bundled services,117
product-related bundled services,include,icloud,117
product-related bundled services,include,siri,117
product-related bundled services,include,maps,117
revenue allocated to product-related bundled services,is recognized,on a straight-line basis,118
apple inc.,has performance obligations,for undelivered services,118
apple inc.,does not have right to bill,for undelivered services,118
unbilled consideration,relates to,value of undelivered services,118
apple inc.,recognizes revenue,based on gross amount billed,118
apple inc.,considers factors,determining control of third-party products,118
factors,include,establishing product price,118
apple inc.,does not obtain control,third-party applications via app store,118
apple inc.,recognizes commission,in services net sales,118
iphone net sales,in 2024 were,"$201,183",119
mac net sales,in 2024 were,"$29,984",119
ipad net sales,in 2024 were,"$26,694",119
"wearables, home and accessories net sales",in 2024 were,"$37,005",119
services net sales,in 2024 were,"$96,169",119
total net sales,in 2024 were,"$391,035",119
total net sales 2024,includes,$7.7 billion revenue,119
$7.7 billion revenue,was deferred revenue as of,"september 30, 2023",119
total net sales 2023,includes,$8.2 billion revenue,119
$8.2 billion revenue,was deferred revenue as of,"september 24, 2022",119
apple inc.,generated mac sales,"29,984",120
apple inc.,generated mac sales,"29,357",120
apple inc.,generated mac sales,"40,177",120
apple inc.,generated ipad sales,"26,694",120
apple inc.,generated ipad sales,"28,300",120
apple inc.,generated ipad sales,"29,292",120
apple inc.,generated total net sales,"391,035",120
apple inc.,generated total net sales,"383,285",120
apple inc.,generated total net sales,"394,328",120
apple inc.,had,"$12.8 billion total deferred revenue as of september 28, 2024",121
apple inc.,had,"$12.1 billion total deferred revenue as of september 30, 2023",121
apple inc.,expects,"64% deferred revenue realized in less than a year (as of sep 28, 2024)",121
apple inc.,had,"$93,736 million net income in 2024",121
apple inc.,had,"$96,995 million net income in 2023",121
apple inc.,had,"$99,803 million net income in 2022",121
apple inc.,had,$6.11 basic earnings per share in 2024,121
apple inc.,had,$6.13 diluted earnings per share in 2023,121
iphone revenue,represented,higher proportion of net sales in greater china,121
apple inc.,holds,"cash valued at $27,199 million as of september 28, 2024",122
apple inc.,holds,"money market funds valued at $778 million as of september 28, 2024",122
apple inc.,holds,"mutual funds valued at $617 million as of september 28, 2024",122
apple inc.,holds,"u.s. treasury securities valued at $15,679 million as of september 28, 2024",122
apple inc.,holds,"u.s. agency securities valued at $5,159 million as of september 28, 2024",122
apple inc.,holds,"non-u.s. government securities valued at $17,568 million as of september 28, 2024",122
apple inc.,holds,"corporate debt securities valued at $63,939 million as of september 28, 2024",122
apple inc.,holds,"mortgage- and asset-backed securities valued at $23,367 million as of september 28, 2024",122
apple inc.,has,"total cash, cash equivalents and marketable securities valued at $156,650 million as of september 28, 2024",122
apple inc.,has net income,"93,736",123
apple inc.,has basic earnings per share,6.11,123
apple inc.,has diluted earnings per share,6.08,123
apple inc.,holds money market funds,778,123
apple inc.,holds u.s. treasury securities,"16,150",123
apple inc.,holds corporate debt securities,"65,622",123
apple inc.,has total assets,"160,600",123
money market funds,are classified as,level 1 asset,123
u.s. treasury securities,are classified as,level 2 asset,123
apple inc.,had total fair value in 2023,"$162,099",124
apple inc.,had total cost in 2023,"$173,752",124
apple inc.,had total unrealized gains in 2023,$30,124
apple inc.,had total unrealized losses in 2023,"$(11,683)",124
apple inc.,had total cash equivalents in 2023,"$29,965",124
apple inc.,had total current marketable securities in 2023,"$31,590",124
apple inc.,had total non-current marketable securities in 2023,"$100,544",124
apple inc.,"held cash and cash equivalents on september 28, 2024",$2.6 billion,124
$2.6 billion,was held in,escrow,124
$2.6 billion,was restricted from,general use,124
apple inc.,held in escrow,"$2.6 billion cash as of september 28, 2024",125
apple inc.,held in escrow,"$13.2 billion marketable securities as of september 28, 2024",125
apple inc.,held in escrow,"$13.8 billion marketable securities as of september 30, 2023",125
restricted cash,designated for,state aid decision obligation,125
restricted marketable securities,designated for,state aid decision obligation,125
86% of apple inc. non-current marketable debt securities,mature,"between 1 and 5 years as of september 28, 2024",125
77% of apple inc. non-current mortgage- and asset-backed securities,mature,"greater than 10 years as of september 28, 2024",125
apple inc.,classifies,marketable debt securities as available-for-sale,125
apple inc.,classifies,marketable debt securities based on maturity,125
apple inc.,classifies,marketable debt securities,126
apple inc.,classifies based on,instrument's underlying maturity,126
apple inc.,uses derivative instruments to offset,foreign exchange and interest rate risk,126
apple inc.,may not hedge due to,accounting considerations,126
apple inc.,classifies hedged items as,operating activities,126
apple inc.,may use,forwards,126
apple inc.,may designate instruments as,cash flow hedges,126
apple inc.,generally hedges,foreign currency exposure,126
apple inc.,hedges associated with,revenue,126
apple inc.,hedges for up to,12 months,126
apple inc.,holds value,"u.s. treasury securities valued at 18,114",127
apple inc.,holds value,"u.s. agency securities valued at 5,136",127
apple inc.,holds value,"non-u.s. government securities valued at 16,491",127
apple inc.,holds value,"corporate debt securities valued at 70,890",127
apple inc.,holds value,"mortgage- and asset-backed securities valued at 19,636",127
apple inc.,holds value,money market funds valued at 481,127
apple inc.,holds value,mutual funds and equity securities valued at 428,127
apple inc.,holds value,"certificates of deposit and time deposits valued at 1,354",127
apple inc.,holds value,commercial paper valued at 608,127
apple inc.,holds value,municipal securities valued at 602,127
apple inc.,uses,forwards,128
apple inc.,uses,cross-currency swaps,128
apple inc.,designates,instruments as cash flow hedges,128
apple inc.,designates,instruments as fair value hedges,128
apple inc.,hedges,"foreign currency exposure for 18 years (sep 28, 2024)",128
apple inc.,uses,non-designated derivative instruments,128
apple inc.,protects,gross margins using non-designated instruments,128
apple inc.,uses,interest rate swaps,128
apple inc.,had,"$64,069 million foreign exchange contracts (sep 28, 2024)",128
apple inc.,had,"$14,575 million interest rate contracts (sep 28, 2024)",128
